YS(MPa),Hardness,HV(GPa)
212.5,161.141,1.580309787
243.75,165.782,1.625824074
246.875,181.698,1.781912286
293.75,185.676,1.820924532
337.5,190.981,1.872950667
318.75,201.592,1.977012744
384.375,208.223,2.042042961
321.875,217.507,2.133091149
371.875,222.812,2.185117284
431.25,230.769,2.263151583
496.875,242.706,2.380217742
487.5,258.621,2.536296147
568.75,261.273,2.562304311
593.75,277.188,2.718382716
553.125,281.167,2.757404769
618.75,291.114,2.854954998
