Grade,Tensile Strength (MPa),Yield Strength (MPa),Elongation in 50 mm (%),Reduction in Area (%),HV (GPa),"Carbon, C","Chromium, Cr","Iron, Fe","Manganese, Mn","Nickel, Ni","Nitrogen, N","Phosphorus, P","Silicon, Si","Sulfur, S","Molybdenum, Mo","Boron, B","Titanium, Ti",Nb,Ta,"Lead, Pb","Vanadium, V"
1026,440,240,24,49,12.20183486,0.25,,98.955,0.75,,,0.04,,0.05,,,,,,,
1527,490,415,15,40,13.84811417,0.255,,98.35,1.35,,,0.04,,0.05,,,,,,,
1527,515,285,18,40,14.42915392,0.255,,98.35,1.35,,,0.04,,0.05,,,,,,,
1527,570,485,12,35,15.78491335,0.255,,98.35,1.35,,,0.04,,0.05,,,,,,,
1030,470,260,20,42,13.26707441,0.305,,98.9,0.75,,,0.04,,0.05,,,,,,,
1030,525,440,12,35,14.42915392,0.305,,98.9,0.75,,,0.04,,0.05,,,,,,,
1035,495,270,18,40,13.84811417,0.345,,98.86,0.75,,,0.04,,0.05,,,,,,,
1035,550,460,12,35,15.78491335,0.345,,98.86,0.75,,,0.04,,0.05,,,,,,,
1536,570,315,16,40,15.78491335,0.335,,98.27,1.35,,,0.04,,0.05,,,,,,,
1536,635,535,12,35,18.10907238,0.335,,98.27,1.35,,,0.04,,0.05,,,,,,,
1037,510,280,18,40,13.84811417,0.35,,98.755,0.85,,,0.04,,0.05,,,,,,,
1037,565,475,12,35,16.17227319,0.35,,98.755,0.85,,,0.04,,0.05,,,,,,,
1038,515,285,18,40,14.42915392,0.38,,98.84,0.75,,,0.04,,0.05,,,,,,,
1038,570,485,12,35,15.78491335,0.38,,98.84,0.75,,,0.04,,0.05,,,,,,,
1039,545,300,16,40,15.10703364,0.4,,98.705,0.85,,,0.04,,0.05,,,,,,,
1039,605,510,12,35,17.3343527,0.4,,98.705,0.85,,,0.04,,0.05,,,,,,,
1040,525,290,18,40,14.42915392,0.405,,98.8,0.75,,,0.04,,0.05,,,,,,,
1040,585,490,12,35,16.46279307,0.405,,98.8,0.75,,,0.04,,0.05,,,,,,,
1541,635,350,15,40,18.10907238,0.4,,98.055,1.5,,,0.04,,0.05,,,,,,,
1541,705,600,10,30,20.04587156,0.4,,98.055,1.5,,,0.04,,0.05,,,,,,,
1541,650,550,10,45,17.8185525,0.4,,98.055,1.5,,,0.04,,0.05,,,,,,,
1042,550,305,16,40,15.78491335,0.435,,98.77,0.75,,,0.04,,0.05,,,,,,,
1043,565,310,16,40,15.78491335,0.435,,98.67,0.85,,,0.04,,0.05,,,,,,,
1043,625,530,12,35,17.3343527,0.435,,98.67,0.85,,,0.04,,0.05,,,,,,,
1043,600,515,12,45,17.3343527,0.435,,98.67,0.85,,,0.04,,0.05,,,,,,,
1044,550,305,16,40,15.78491335,0.465,,99.04,0.45,,,0.04,,0.05,,,,,,,
1045,565,310,16,40,15.78491335,0.46,,98.745,0.75,,,0.04,,0.05,,,,,,,
1045,625,530,12,35,17.3343527,0.46,,98.745,0.75,,,0.04,,0.05,,,,,,,
1045,585,505,12,45,16.46279307,0.46,,98.745,0.75,,,0.04,,0.05,,,,,,,
1046,585,325,15,40,16.46279307,0.46,,98.645,0.85,,,0.04,,0.05,,,,,,,
1046,650,545,12,35,18.10907238,0.46,,98.645,0.85,,,0.04,,0.05,,,,,,,
1046,620,515,12,45,17.3343527,0.46,,98.645,0.85,,,0.04,,0.05,,,,,,,
1547,650,360,15,30,18.59327217,0.47,,97.985,1.5,,,0.04,,0.05,,,,,,,
1547,710,605,10,28,20.04587156,0.47,,97.985,1.5,,,0.04,,0.05,,,,,,,
1547,655,585,10,35,18.10907238,0.47,,97.985,1.5,,,0.04,,0.05,,,,,,,
1548,660,365,14,33,19.07747197,0.48,,98.265,1.225,,,0.04,,0.05,,,,,,,
1548,735,615,10,28,21.01427115,0.48,,98.265,1.225,,,0.04,,0.05,,,,,,,
1548,645,540,10,35,18.59327217,0.48,,98.265,1.225,,,0.04,,0.05,,,,,,,
1049,600,330,15,35,17.3343527,0.495,,98.71,0.75,,,0.04,,0.05,,,,,,,
1049,670,560,10,30,19.07747197,0.495,,98.71,0.75,,,0.04,,0.05,,,,,,,
1049,635,530,10,40,18.10907238,0.495,,98.71,0.75,,,0.04,,0.05,,,,,,,
1050,620,340,15,35,17.3343527,0.51,,98.69,0.75,,,0.04,,0.05,,,,,,,
1050,690,580,10,30,19.07747197,0.51,,98.69,0.75,,,0.04,,0.05,,,,,,,
1050,655,550,10,40,18.30275229,0.51,,98.69,0.75,,,0.04,,0.05,,,,,,,
1552,745,410,12,30,21.01427115,0.51,,98.095,1.35,,,0.04,,0.05,,,,,,,
1552,675,570,10,40,18.69011213,0.51,,98.095,1.35,,,0.04,,0.05,,,,,,,
1055,650,355,12,30,18.59327217,0.55,,98.655,0.75,,,0.04,,0.05,,,,,,,
1055,660,560,10,40,19.07747197,0.55,,98.655,0.75,,,0.04,,0.05,,,,,,,
1060,675,370,12,30,19.4648318,0.605,,98.6,0.75,,,0.04,,0.05,,,,,,,
1060,620,485,10,45,17.72171254,0.605,,98.6,0.75,,,0.04,,0.05,,,,,,,
1064,670,370,12,30,19.4648318,0.65,,98.655,0.65,,,0.04,,0.05,,,,,,,
1064,615,475,10,45,17.72171254,0.65,,98.655,0.65,,,0.04,,0.05,,,,,,,
1065,690,380,12,30,20.04587156,0.65,,98.555,0.75,,,0.04,,0.05,,,,,,,
1065,635,490,10,45,18.10907238,0.65,,98.555,0.75,,,0.04,,0.05,,,,,,,
1070,705,385,12,30,20.53007136,0.7,,98.505,0.75,,,0.04,,0.05,,,,,,,
1070,640,495,10,45,18.59327217,0.7,,98.505,0.75,,,0.04,,0.05,,,,,,,
1074,725,400,12,30,21.01427115,0.75,,98.555,0.65,,,0.04,,0.05,,,,,,,
1074,650,505,10,40,18.59327217,0.75,,98.555,0.65,,,0.04,,0.05,,,,,,,
1078,690,380,12,30,20.04587156,0.785,,98.72,0.45,,,0.04,,0.05,,,,,,,
1078,650,500,10,40,18.59327217,0.785,,98.72,0.45,,,0.04,,0.05,,,,,,,
1080,770,425,10,25,22.17635066,0.815,,98.39,0.75,,,0.04,,0.05,,,,,,,
1080,675,515,10,40,18.59327217,0.815,,98.39,0.75,,,0.04,,0.05,,,,,,,
1084,820,450,10,25,23.33843017,0.865,,98.34,0.75,,,0.04,,0.05,,,,,,,
1084,690,530,10,40,18.59327217,0.865,,98.34,0.75,,,0.04,,0.05,,,,,,,
1085,835,460,10,25,24.01630989,0.875,,98.23,0.85,,,0.04,,0.05,,,,,,,
1085,695,540,10,40,18.59327217,0.875,,98.23,0.85,,,0.04,,0.05,,,,,,,
1086,770,425,10,25,22.17635066,0.865,,98.69,0.4,,,0.04,,0.05,,,,,,,
1086,670,510,10,40,18.59327217,0.865,,98.69,0.4,,,0.04,,0.05,,,,,,,
1090,840,460,10,25,24.01630989,0.915,,98.29,0.75,,,0.04,,0.05,,,,,,,
1090,695,540,10,40,19.07747197,0.915,,98.29,0.75,,,0.04,,0.05,,,,,,,
1095,825,455,10,25,24.01630989,0.965,,98.59,0.4,,,0.04,,0.05,,,,,,,
1095,680,525,10,40,19.07747197,0.965,,98.59,0.4,,,0.04,,0.05,,,,,,,
1211,380,230,25,45,11.71763507,0.13,,98.965,0.75,,,0.095,,0.125,,,,,,,
1211,515,400,10,35,15.78491335,0.13,,98.965,0.75,,,0.095,,0.125,,,,,,,
1212,385,230,25,45,11.71763507,0.13,,98.795,0.85,,,0.095,,0.195,,,,,,,
1212,540,415,10,35,16.17227319,0.13,,98.795,0.85,,,0.095,,0.195,,,,,,,
1213,385,230,25,45,11.71763507,0.13,,98.705,0.85,,,0.095,,0.285,,,,,,,
1213,540,415,10,35,16.17227319,0.13,,98.705,0.85,,,0.095,,0.285,,,,,,,
12L14,395,235,22,45,11.71763507,0.15,,98.305,1,,,0.065,,0.305,,,,,,0.25,
12L14,540,415,10,35,15.78491335,0.15,,98.305,1,,,0.065,,0.305,,,,,,0.25,
1108,345,190,30,50,9.780835882,0.105,,99.12,0.65,,,0.04,,0.105,,,,,,,
1108,385,325,20,40,11.71763507,0.105,,99.12,0.65,,,0.04,,0.105,,,,,,,
1117,425,235,23,47,11.71763507,0.17,,98.555,1.15,,,0.04,,0.105,,,,,,,
1117,475,400,15,40,13.26707441,0.17,,98.555,1.15,,,0.04,,0.105,,,,,,,
1118,450,250,23,47,12.68603466,0.17,,98.255,1.45,,,0.04,,0.105,,,,,,,
1118,495,420,15,40,13.84811417,0.17,,98.255,1.45,,,0.04,,0.105,,,,,,,
1119,425,235,23,47,11.71763507,0.17,,98.375,1.15,,,0.04,,0.285,,,,,,,
1119,475,400,15,40,13.26707441,0.17,,98.375,1.15,,,0.04,,0.285,,,,,,,
1132,570,315,16,40,16.17227319,0.305,,98.07,1.5,,,0.04,,0.105,,,,,,,
1132,635,530,12,35,17.72171254,0.305,,98.07,1.5,,,0.04,,0.105,,,,,,,
1137,605,330,15,35,17.3343527,0.355,,98.02,1.5,,,0.04,,0.105,,,,,,,
1137,675,565,10,30,19.07747197,0.355,,98.02,1.5,,,0.04,,0.105,,,,,,,
1140,545,300,16,40,15.10703364,0.405,,98.62,0.85,,,0.04,,0.105,,,,,,,
1140,605,510,12,35,16.46279307,0.405,,98.62,0.85,,,0.04,,0.105,,,,,,,
1141,650,355,15,35,18.10907238,0.41,,97.965,1.5,,,0.04,,0.105,,,,,,,
1141,725,605,10,30,20.53007136,0.41,,97.965,1.5,,,0.04,,0.105,,,,,,,
1144,670,365,15,35,19.07747197,0.44,,97.755,1.5,,,0.04,,0.285,,,,,,,
1144,745,620,10,30,21.01427115,0.44,,97.755,1.5,,,0.04,,0.285,,,,,,,
1146,585,325,15,40,16.46279307,0.455,,98.57,0.85,,,0.04,,0.105,,,,,,,
1146,650,550,12,35,18.10907238,0.455,,98.57,0.85,,,0.04,,0.105,,,,,,,
1151,635,350,15,35,18.10907238,0.515,,98.51,0.85,,,0.04,,0.105,,,,,,,
1151,705,595,10,30,20.04587156,0.515,,98.51,0.85,,,0.04,,0.105,,,,,,,
8620,635,360,26.3,59.7,17.72171254,0.205,0.5,97.4575,0.8,0.55,,0.035,0.25,0.04,0.2,,,,,,
8620,540,385,31.3,62.1,14.42915392,0.205,0.5,97.4575,0.8,0.55,,0.035,0.25,0.04,0.2,,,,,,
4620,570,365,29,66.7,16.85015291,0.195,,96.8925,0.55,1.825,,0.035,0.25,0.04,0.25,,,,,,
4620,510,370,31.3,60.3,14.42915392,0.195,,96.8925,0.55,1.825,,0.035,0.25,0.04,0.25,,,,,,
4820,758,485,24,59.2,22.17635066,0.205,,95.1825,0.6,3.5,,0.035,0.225,0.04,0.25,,,,,,
4820,685,460,22.3,58.8,19.07747197,0.205,,95.1825,0.6,3.5,,0.035,0.225,0.04,0.25,,,,,,
5140,793,470,22.7,59.2,22.17635066,0.405,0.8,97.7325,0.8,,,0.035,0.225,0.04,,,,,,,
5140,570,290,28.6,57.3,16.17227319,0.405,0.8,97.7325,0.8,,,0.035,0.225,0.04,,,,,,,
5140,972,841,18.5,58.9,28.37410805,0.405,0.8,97.7325,0.8,,,0.035,0.225,0.04,,,,,,,
5150,869,530,20.7,58.7,24.6941896,0.505,0.8,97.6325,0.8,,,0.035,0.225,0.04,,,,,,,
5150,675,360,22,43.7,19.07747197,0.505,0.8,97.6325,0.8,,,0.035,0.225,0.04,,,,,,,
5150,1055,1000,16.4,52.9,30.11722732,0.505,0.8,97.6325,0.8,,,0.035,0.225,0.04,,,,,,,
5160,1025,650,18.2,50.7,27.59938838,0.6,0.8,97.4625,0.875,,,0.035,0.225,0.04,,,,,,,
5160,724,275,17.2,30.6,19.07747197,0.6,0.8,97.4625,0.875,,,0.035,0.225,0.04,,,,,,,
