"Aluminum, Al","Boron, B","Carbon, C","Chromium, Cr","Cobalt, Co","Copper, Cu",Grade,HV (GPa),"Iron, Fe","Manganese, Mn","Molybdenum, Mo","Nickel, Ni",Nb,"Nitrogen, N","Phosphorus, P","Potassium, K","Selenium, Se","Silicon, Si","Sulfur, S",Ta,Tensile Strength (MPa),Yield Strength (MPa),"Titanium, Ti","Tungsten, W","Vanadium, V","Zirconium, Zr",Reduction in Area (%),Elongation in 50 mm (%),"Lead, Pb"
,,0.15,12.3,,,403,15.65692,86,1,,,,,0.04,,,0.5,0.03,,485,310,,,,,,,
0.2,,0.08,13,,,405,14.50275,85,1,,,,,0.04,,,1,0.03,,448,276,,,,,,,
4,,0.025,13,,,406,17.734426,82.76,0.035,,,,,,,,0.3,,,554,412,0.4,,,,,,
0.3,,0.03,20.5,,0.2,407,,46,1,,31,,,0.02,,,0.4,0.01,,450,170,0.3,,,,,,
0.3,,0.03,20.5,,0.2,408,,46,1,,31,,,0.02,,,0.4,0.01,,550,240,0.3,,,,,,
0.3,,0.03,20.5,,0.2,409,,46,1,,31,,,0.02,,,0.4,0.01,,550,240,0.3,,,,,,
,,0.15,11.5,,,410,29.26014,84.3,1,,,,,0.04,,,1,0.03,,1525,1225,,,,,,,
,,0.48,0.2,,,412,,98.0425,0.7,,,,,0.02,,,0.2,0.035,,1310,,,,0.15,,,,
,,0.15,12.5,,,414,31.06434,83,1,,1.88,,,0.04,,,1,0.03,,1795,1013,,,,,,,
,,0.3,,,,415,,98.2,0.6,,,,,0.05,,,0.8,0.06,,470,230,,,,,,,
,,0.15,13,,,416,14.22514,84,1.25,0.6,,,,0.06,,,1,0.15,,741,600,,,,,,,
,,0.18,13,,,418,,81,0.25,,2,,,0.02,,,0.25,0.015,,965,760,,3,,,,,
,,0.17,0.4,,,420,16.580256,95.855,0.45,0.2,1.65,,,0.035,,,0.15,0.04,,580,425,,,,,,,
,,0.2,12,,,422,,84,1,1,0.75,,,0.025,,,0.75,0.025,,1490,979,,1,0.23,,,,
,,0.15,18,,,423,16.81109,70,2,,9,,,0.045,,,1,0.03,,620,275,,,,,,,
0.05,,0.003,,,0.02,424,,99.687,0.21,,,,,0.01,,,0.01,0.01,,300,178,,,,,,,
,,0.38,0.8,,,425,20.504434,96.785,0.75,0.15,,,,0.035,,,0.15,0.04,,1380,1170,,,,,,,
,,0.15,11.5,,,427,26.85454,86,1,,0.5,,,0.04,,,1,0.03,,1300,916,,,,,,,
,,,,,,429,,,,,,,,,,,,,,,,,,,,,,
,,0.12,16,,,430,18.426928,81,1.25,0.6,,,,,0.06,,1,0.15,,655,,,,,,,,
,,0.2,15,,,431,,82,1,,1.25,,,0.04,,,1,0.03,,795,620,,,,,,,
,,0.01,20,,0.5,433,15.426086,78,0.3,,0.25,0.8,0.019,0.021,,,0.39,0.001,,286,286,,,,,,,
,,0.12,16,,,434,17.734426,81,1,1,,,,0.04,,,1,0.03,,538,441,,,,,,,
,,0.33,0.9,,0.3,435,,97.33,0.6,0.15,0.25,,,0.03,,,0.15,0.03,,,,,,,,,,
,,0.12,14,,,436,17.734426,78,1,0.75,,,,0.04,,,1,0.03,,538,441,,,,,,,
,,0.07,18,,,439,17.503592,78.33,1,,0.5,,,,,,1,,,450,205,1.1,,,,,,
,,0.12,,,,440,12.886912,99.13,0.6,,,,,0.04,,,,0.05,,420,350,,,,,,,
,,0.03,17.5,,,441,,75.96,1,,1,0.3,0.03,0.04,,,1,0.04,,,,0.1,,,,,,
,,0.2,20.5,,,442,17.96526,76.3,1,,1,,,,,,1,,,515,275,,,,,,,
,,0.025,18.5,,,444,19.11943,76.475,1,2,1,,,,,,1,,,415,275,,,,,,,
,,0.2,23,,,446,16.349422,75,1.5,,0.25,,,0.04,,,1,0.03,,550,345,,,,,,,
,,0.2,24,,,447,,52.9,2,0.5,11,,,0.04,,,2,0.04,,550,275,,,,,,,
,,0.42,,,,450,,98.51,0.6,,,,,0.04,,,,0.05,,1584,1069,,,,,,,
,,0.15,11.5,,,453,28.35804,84.3,1,,,,,0.04,,,1,0.03,,1340,920,,,,,,,
0.1,0.003,0.03,,7.5,,455,,68,0.1,4.8,18.5,,,0.01,,,0.1,0.01,,1810,1770,0.4,,,0.01,,,
,,0.28,18,,0.5,458,,64,0.75,1,8,0.25,,0.04,,,0.3,0.03,,838,579,0.1,1,,,,,
,,0.12,,,,460,,97.88,1.6,,,,,,,,0.4,,,550,460,,,,,,,
,,0.08,,,,461,9.88607,99.43,0.25,,,,,0.04,,,,0.05,,330,285,,,,,,,
,,0.08,,,,462,9.88607,99.43,0.25,,,,,0.04,,,,0.05,,330,285,,,,,,,
