Grade,Tensile Strength (MPa),Yield Strength (MPa),Elongation in 50 mm (%),Reduction in Area (%),HV (GPa),"Carbon, C","Chromium, Cr","Iron, Fe","Manganese, Mn","Nickel, Ni","Nitrogen, N","Phosphorus, P","Silicon, Si","Sulfur, S","Molybdenum, Mo","Boron, B","Titanium, Ti",Nb,Ta,"Lead, Pb","Vanadium, V",YS/TS ratio
1006,330.0,285.0,20.0,45.0,9.199796126,0.08,0.0,99.59,0.325,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8636363636363636
1008,305.0,170.0,30.0,55.0,8.328236493,0.1,0.0,99.505,0.4,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5573770491803278
1008,340.0,285.0,20.0,45.0,9.199796126,0.1,0.0,99.505,0.4,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8382352941176471
1010,325.0,180.0,28.0,50.0,9.199796126,0.105,0.0,99.4,0.45,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5538461538461539
1010,365.0,305.0,20.0,40.0,10.16819572,0.105,0.0,99.4,0.45,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8356164383561644
1012,330.0,185.0,28.0,50.0,9.199796126,0.125,0.0,99.38,0.45,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5606060606060606
1012,370.0,310.0,19.0,40.0,10.16819572,0.125,0.0,99.38,0.45,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8378378378378378
1015,345.0,190.0,28.0,50.0,9.780835882,0.155,0.0,99.35,0.45,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5507246376811594
1015,385.0,325.0,18.0,40.0,10.74923547,0.155,0.0,99.35,0.45,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8441558441558441
1016,380.0,205.0,25.0,50.0,10.65239551,0.15,0.0,99.355,0.75,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5394736842105263
1016,420.0,350.0,18.0,40.0,11.71763507,0.15,0.0,99.355,0.75,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334
1017,365.0,200.0,26.0,50.0,10.16819572,0.17,0.0,99.335,0.45,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.547945205479452
1017,405.0,340.0,18.0,40.0,11.23343527,0.17,0.0,99.335,0.45,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8395061728395061
1018,400.0,220.0,25.0,50.0,11.23343527,0.17,0.0,99.035,0.75,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55
1018,440.0,370.0,15.0,40.0,12.20183486,0.17,0.0,99.035,0.75,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8409090909090909
1019,405.0,225.0,25.0,50.0,11.23343527,0.17,0.0,98.935,0.85,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556
1019,455.0,380.0,15.0,40.0,12.68603466,0.17,0.0,98.935,0.85,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8351648351648352
1020,380.0,205.0,25.0,50.0,10.74923547,0.2,0.0,99.305,0.45,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5394736842105263
1020,420.0,350.0,15.0,40.0,11.71763507,0.2,0.0,99.305,0.45,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334
