Grade,Condition,Tensile Strength (MPa),Tensile Strength (ksi),Yield Strength (MPa),Yield Strength (ksi),Elongation in 50 mm (%),Reduction in Area (%),Hardness (HB),HV (GPa)
1086,"Spheroidized annealed, cold drawn",670,97,510,74,10,40,192,18.59327217
1090,Hot rolled,840,122,460,67,10,25,248,24.01630989
1090,"Spheroidized annealed, cold drawn",695,101,540,78,10,40,197,19.07747197
1095,Hot rolled,825,120,455,66,10,25,248,24.01630989
1095,"Spheroidized annealed, cold drawn",680,99,525,76,10,40,197,19.07747197
1211,Hot rolled,380,55,230,33,25,45,121,11.71763507
1211,Cold drawn,515,75,400,58,10,35,163,15.78491335
1212,Hot rolled,385,56,230,33.5,25,45,121,11.71763507
1212,Cold drawn,540,78,415,60,10,35,167,16.17227319
1213,Hot rolled,385,56,230,33.5,25,45,121,11.71763507
1213,Cold drawn,540,78,415,60,10,35,167,16.17227319
12L14,Hot rolled,395,57,235,34,22,45,121,11.71763507
12L14,Cold drawn,540,78,415,60,10,35,163,15.78491335
1108,Hot rolled,345,50,190,27.5,30,50,101,9.780835882
1108,Cold drawn,385,56,325,47,20,40,121,11.71763507
1109,Hot rolled,345,50,190,27.5,30,50,101,9.780835882
1117,Hot rolled,425,62,235,34,23,47,121,11.71763507
1117,Cold drawn,475,69,400,58,15,40,137,13.26707441
1118,Hot rolled,450,65,250,36,23,47,131,12.68603466
1118,Cold drawn,495,72,420,61,15,40,143,13.84811417
1119,Hot rolled,425,62,235,34,23,47,121,11.71763507
1119,Cold drawn,475,69,400,58,15,40,137,13.26707441
1132,Hot rolled,570,83,315,45.5,16,40,167,16.17227319
1132,Cold drawn,635,92,530,77,12,35,183,17.72171254
1137,Hot rolled,605,88,330,48,15,35,179,17.3343527
1137,Cold drawn,675,98,565,82,10,30,197,19.07747197
1140,Hot rolled,545,79,300,43.5,16,40,156,15.10703364
1140,Cold drawn,605,88,510,74,12,35,170,16.46279307
1141,Hot rolled,650,94,355,51.5,15,35,187,18.10907238
1141,Cold drawn,725,105.1,605,88,10,30,212,20.53007136
1144,Hot rolled,670,97,365,53,15,35,197,19.07747197
1144,Cold drawn,745,108,620,90,10,30,217,21.01427115
1145,Hot rolled,585,85,325,47,15,40,170,16.46279307
1145,Cold drawn,650,94,550,80,12,35,187,18.10907238
1146,Hot rolled,585,85,325,47,15,40,170,16.46279307
1146,Cold drawn,650,94,550,80,12,35,187,18.10907238
1151,Hot rolled,635,92,350,50.5,15,35,187,18.10907238
1151,Cold drawn,705,102,595,86,10,30,207,20.04587156
